Name	Version	Architecturet	Description
libxcomposite-dev:amd64	1:0.4.5-1build2	amd64	X11 Composite extension library (development headers)
libxcomposite1:amd64	1:0.4.5-1build2	amd64	X11 Composite extension library
libxcursor-dev:amd64	1:1.2.0-2build4	amd64	X cursor management library (development files)
libxcursor1:amd64	1:1.2.0-2build4	amd64	X cursor management library
libxdamage-dev:amd64	1:1.1.5-2build2	amd64	X11 damaged region extension library (development headers)
libxdamage1:amd64	1:1.1.5-2build2	amd64	X11 damaged region extension library
libxdmcp-dev:amd64	1:1.1.3-0ubuntu5	amd64	X11 authorisation library (development headers)
libxdmcp6:amd64	1:1.1.3-0ubuntu5	amd64	X11 Display Manager Control Protocol library
libxerces-c-dev:amd64	3.2.3+debian-3build1	amd64	validating XML parser library for C++ (development files)
libxerces-c3.2:amd64	3.2.3+debian-3build1	amd64	validating XML parser library for C++
libxext-dev:amd64	2:1.3.4-1build1	amd64	X11 miscellaneous extensions library (development headers)
libxext6:amd64	2:1.3.4-1build1	amd64	X11 miscellaneous extension library
libxfixes-dev:amd64	1:6.0.0-1	amd64	X11 miscellaneous 'fixes' extension library (development headers)
libxfixes3:amd64	1:6.0.0-1	amd64	X11 miscellaneous 'fixes' extension library
libxft-dev:amd64	2.3.4-1	amd64	FreeType-based font drawing library for X (development files)
libxft2:amd64	2.3.4-1	amd64	FreeType-based font drawing library for X
libxi-dev:amd64	2:1.8-1build1	amd64	X11 Input extension library (development headers)
libxi6:amd64	2:1.8-1build1	amd64	X11 Input extension library
libxinerama-dev:amd64	2:1.1.4-3	amd64	X11 Xinerama extension library (development headers)
libxinerama1:amd64	2:1.1.4-3	amd64	X11 Xinerama extension library
libxml-libxml-perl	2.0207+dfsg+really+2.0134-1	amd64	Perl interface to the libxml2 library
libxml-libxml-simple-perl	1.01-1	all	Perl module that uses the XML::LibXML parser for XML structures
libxml-libxslt-perl	1.99-1build2	amd64	Perl interface to the GNOME libxslt library
libxml-namespacesupport-perl	1.12-1.1	all	Perl module for supporting simple generic namespaces
libxml-sax-base-perl	1.09-1.1	all	base class for SAX drivers and filters
libxml-sax-perl	1.02+dfsg-3	all	Perl module for using and building Perl SAX2 XML processors
libxml-simple-perl	2.25-1	all	Perl module for reading and writing XML
libxml-writer-perl	0.900-1	all	Perl module for writing XML documents
libxml2:amd64	2.9.13+dfsg-1ubuntu0.2	amd64	GNOME XML library
libxml2-dev:amd64	2.9.13+dfsg-1ubuntu0.2	amd64	GNOME XML library - development files
libxml2-utils	2.9.13+dfsg-1ubuntu0.2	amd64	GNOME XML library - utilities
libxmu6:amd64	2:1.1.3-3	amd64	X11 miscellaneous utility library
libxnvctrl0:amd64	510.47.03-0ubuntu1	amd64	NV-CONTROL X extension (runtime library)
libxpm-dev:amd64	1:3.5.12-1build2	amd64	X11 pixmap library (development headers)
libxpm4:amd64	1:3.5.12-1build2	amd64	X11 pixmap library
libxrandr-dev:amd64	2:1.5.2-1build1	amd64	X11 RandR extension library (development headers)
libxrandr2:amd64	2:1.5.2-1build1	amd64	X11 RandR extension library
libxrender-dev:amd64	1:0.9.10-1build4	amd64	X Rendering Extension client library (development files)
libxrender1:amd64	1:0.9.10-1build4	amd64	X Rendering Extension client library
libxshmfence1:amd64	1.3-1build4	amd64	X shared memory fences - shared library
libxsimd-dev:amd64	7.6.0-2	amd64	C++ wrappers for SIMD intrinsics
libxslt1-dev:amd64	1.1.34-4ubuntu0.22.04.1	amd64	XSLT 1.0 processing library - development kit
libxslt1.1:amd64	1.1.34-4ubuntu0.22.04.1	amd64	XSLT 1.0 processing library - runtime library
libxss-dev:amd64	1:1.2.3-1build2	amd64	X11 Screen Saver extension library (development headers)
libxss1:amd64	1:1.2.3-1build2	amd64	X11 Screen Saver extension library
libxstring-perl	0.005-1build2	amd64	module containing isolated string helpers from B
libxt-dev:amd64	1:1.2.1-1	amd64	X11 toolkit intrinsics library (development headers)
libxt6:amd64	1:1.2.1-1	amd64	X11 toolkit intrinsics library
libxtst6:amd64	2:1.2.3-1build4	amd64	X11 Testing -- Record extension library
libxvidcore4:amd64	2:1.3.7-1	amd64	Open source MPEG-4 video codec (library)
libxxf86vm1:amd64	1:1.1.4-1build3	amd64	X11 XFree86 video mode extension library
libxxhash0:amd64	0.8.1-1	amd64	shared library for xxhash
libyajl-dev:amd64	2.1.0-3build2	amd64	Yet Another JSON Library - development files
libyajl2:amd64	2.1.0-3build2	amd64	Yet Another JSON Library
libzimg2:amd64	3.0.3+ds1-1	amd64	scaling, colorspace, depth conversion library (shared library)
libzmq3-dev:amd64	4.3.4-2	amd64	lightweight messaging kernel (development files)
libzmq5:amd64	4.3.4-2	amd64	lightweight messaging kernel (shared library)
libzstd-dev:amd64	1.4.8+dfsg-3build1	amd64	fast lossless compression algorithm -- development files
libzstd1:amd64	1.4.8+dfsg-3build1	amd64	fast lossless compression algorithm
libzvbi-common	0.2.35-19	all	Vertical Blanking Interval decoder (VBI) - common files
libzvbi0:amd64	0.2.35-19	amd64	Vertical Blanking Interval decoder (VBI) - runtime files
linux-libc-dev:amd64	5.15.0-56.62	amd64	Linux Kernel Headers for development
locales	2.35-0ubuntu3.1	all	GNU C Library: National Language (locale) data [support]
login	1:4.8.1-2ubuntu2.1	amd64	system login tools
logsave	1.46.5-2ubuntu1.1	amd64	save the output of a command in a log file
lsb-base	11.1.0ubuntu4	all	Linux Standard Base init script functionality
lsb-release	11.1.0ubuntu4	all	Linux Standard Base version reporting utility
lto-disabled-list	24	all	list of packages not to build with LTO
m4	1.4.18-5ubuntu2	amd64	macro processing language
mafft	7.490-1	amd64	Multiple alignment program for amino acid or nucleotide sequences
make	4.3-4.1build1	amd64	utility for directing compilation
mawk	1.3.4.20200120-3	amd64	Pattern scanning and text processing language
mcl	1:14-137+ds-9build2	amd64	Markov Cluster algorithm
media-types	7.0.0	all	List of standard media types and their usual file extension
mono-4.0-gac	6.8.0.105+dfsg-3.2	all	Mono GAC tool (for CLI 4.0)
mono-gac	6.8.0.105+dfsg-3.2	all	Mono GAC tool
mono-runtime	6.8.0.105+dfsg-3.2	amd64	Mono runtime - default version
mono-runtime-common	6.8.0.105+dfsg-3.2	amd64	Mono runtime - common files
mono-runtime-sgen	6.8.0.105+dfsg-3.2	amd64	Mono runtime - SGen
mount	2.37.2-4ubuntu3	amd64	tools for mounting and manipulating filesystems
mpi-default-bin	1.14	amd64	Standard MPI runtime programs (metapackage)
mysql-common	5.8+1.0.8	all	MySQL database common files, e.g. /etc/mysql/my.cnf
ncurses-base	6.3-2	all	basic terminal type definitions
ncurses-bin	6.3-2	amd64	terminal-related programs and man pages
netbase	6.3	all	Basic TCP/IP networking system
ocaml-base	4.13.1-3ubuntu1	amd64	Runtime system for OCaml bytecode executables
ocl-icd-libopencl1:amd64	2.2.14-3	amd64	Generic OpenCL ICD Loader
ocl-icd-opencl-dev:amd64	2.2.14-3	amd64	OpenCL development files
opencl-c-headers	3.0~2022.01.04-1	all	OpenCL (Open Computing Language) C header files
opencl-clhpp-headers	3.0~2.0.15-1ubuntu1	all	C++ headers for OpenCL development
openjdk-11-jdk:amd64	11.0.17+8-1ubuntu2~22.04	amd64	OpenJDK Development Kit (JDK)
openjdk-11-jdk-headless:amd64	11.0.17+8-1ubuntu2~22.04	amd64	OpenJDK Development Kit (JDK) (headless)
openjdk-11-jre:amd64	11.0.17+8-1ubuntu2~22.04	amd64	OpenJDK Java runtime, using Hotspot JIT
openjdk-11-jre-headless:amd64	11.0.17+8-1ubuntu2~22.04	amd64	OpenJDK Java runtime, using Hotspot JIT (headless)
openmpi-bin	4.1.2-2ubuntu1	amd64	high performance message passing library -- binaries
openmpi-common	4.1.2-2ubuntu1	all	high performance message passing library -- common files
openmpi-doc	4.1.2-2ubuntu1	all	high performance message passing library -- man pages
openssh-client	1:8.9p1-3	amd64	secure shell (SSH) client, for secure access to remote machines
openssl	3.0.2-0ubuntu1.7	amd64	Secure Sockets Layer toolkit - cryptographic utility
pango1.0-tools	1.50.6+ds-2	amd64	Development utilities for Pango
passwd	1:4.8.1-2ubuntu2.1	amd64	change and administer password and group data
patch	2.7.6-7build2	amd64	Apply a diff file to an original
perl	5.34.0-3ubuntu1.1	amd64	Larry Wall's Practical Extraction and Report Language
perl-base	5.34.0-3ubuntu1.1	amd64	minimal Perl system
perl-modules-5.34	5.34.0-3ubuntu1.1	all	Core Perl modules
perl-openssl-defaults:amd64	5build2	amd64	version compatibility baseline for Perl OpenSSL packages
pkg-config	0.29.2-1ubuntu3	amd64	manage compile and link flags for libraries
procps	2:3.3.17-6ubuntu2	amd64	/proc file system utilities
proj-data	8.2.1-1	all	Cartographic projection filter and library (datum package)
protobuf-compiler	3.12.4-1ubuntu7	amd64	compiler for protocol buffer definition files
psmisc	23.4-2build3	amd64	utilities that use the proc file system
pwgen	2.08-2build1	amd64	Automatic Password generation
python-pkg-resources	44.1.1-1.2	all	Package Discovery and Resource Access using pkg_resources
python-setuptools	44.1.1-1.2	all	Python Distutils Enhancements
python2	2.7.18-3	amd64	interactive high-level object-oriented language (Python2 version)
python2-minimal	2.7.18-3	amd64	minimal subset of the Python2 language
python2.7	2.7.18-13ubuntu1.1	amd64	Interactive high-level object-oriented language (version 2.7)
python2.7-minimal	2.7.18-13ubuntu1.1	amd64	Minimal subset of the Python language (version 2.7)
python3	3.10.6-1~22.04	amd64	interactive high-level object-oriented language (default python3 version)
python3-beniget	0.4.1-2	all	collection of compile-time Python AST analyzers
python3-dateutil	2.8.1-6	all	powerful extensions to the standard Python 3 datetime module
python3-decorator	4.4.2-0ubuntu1	all	simplify usage of Python decorators by programmers
python3-dev	3.10.6-1~22.04	amd64	header files and a static library for Python (default)
python3-distutils	3.10.6-1~22.04	all	distutils package for Python 3.x
python3-gast	0.5.2-2	all	compatibility layer for the AST of various Python versions (Python3 version)
python3-lib2to3	3.10.6-1~22.04	all	Interactive high-level object-oriented language (lib2to3)
python3-minimal	3.10.6-1~22.04	amd64	minimal subset of the Python language (default python3 version)
python3-numpy	1:1.21.5-1ubuntu22.04.1	amd64	Fast array facility to the Python 3 language
python3-pandas	1.3.5+dfsg-3	all	data structures for relational or labeled data
python3-pandas-lib:amd64	1.3.5+dfsg-3	amd64	low-level implementations and bindings for pandas
python3-pip	22.0.2+dfsg-1	all	Python package installer
python3-pip-whl	22.0.2+dfsg-1	all	Python package installer (pip wheel)
python3-pkg-resources	59.6.0-1.2	all	Package Discovery and Resource Access using pkg_resources
python3-ply	3.11-5	all	Lex and Yacc implementation for Python3
python3-pythran	0.10.0+ds2-1	amd64	ahead of time compiler for Python
python3-scipy	1.8.0-1exp2ubuntu1	amd64	scientific tools for Python 3
python3-setuptools	59.6.0-1.2	all	Python3 Distutils Enhancements
python3-setuptools-whl	59.6.0-1.2	all	Python Distutils Enhancements (wheel package)
python3-six	1.16.0-3ubuntu1	all	Python 2 and 3 compatibility library (Python 3 interface)
python3-tz	2022.1-1ubuntu0.22.04.0	all	Python3 version of the Olson timezone database
python3-venv	3.10.6-1~22.04	amd64	venv module for python3 (default python3 version)
python3-wheel	0.37.1-2	all	built-package format for Python
python3.10	3.10.6-1~22.04.2	amd64	Interactive high-level object-oriented language (version 3.10)
python3.10-dev	3.10.6-1~22.04.2	amd64	Header files and a static library for Python (v3.10)
python3.10-minimal	3.10.6-1~22.04.2	amd64	Minimal subset of the Python language (version 3.10)
python3.10-venv	3.10.6-1~22.04.2	amd64	Interactive high-level object-oriented language (pyvenv binary, version 3.10)
readline-common	8.1.2-1	all	GNU readline and history libraries, common files
rpcsvc-proto	1.4.2-0ubuntu6	amd64	RPC protocol compiler and definitions
rstudio-server	2022.12.0+353	amd64	RStudio Server
sed	4.8-1ubuntu2	amd64	GNU stream editor for filtering/transforming text
sensible-utils	0.0.17	all	Utilities for sensible alternative selection
shared-mime-info	2.1-2	amd64	FreeDesktop.org shared MIME database and spec
sqlite	2.8.17-15fakesync1build1	amd64	command line interface for SQLite 2
sudo	1.9.9-1ubuntu2.1	amd64	Provide limited super user privileges to specific users
sysvinit-utils	3.01-1ubuntu1	amd64	System-V-like utilities
tabix	1.13+ds-2build1	amd64	generic indexer for TAB-delimited genome position files
tar	1.34+dfsg-1build3	amd64	GNU version of the tar archiving utility
tcl	8.6.11+1build2	amd64	Tool Command Language (default version) - shell
tcl-dev:amd64	8.6.11+1build2	amd64	Tool Command Language (default version) - development files
tcl8.6	8.6.12+dfsg-1build1	amd64	Tcl (the Tool Command Language) v8.6 - shell
tcl8.6-dev:amd64	8.6.12+dfsg-1build1	amd64	Tcl (the Tool Command Language) v8.6 - development files
tex-common	6.17	all	common infrastructure for building and installing TeX
tk	8.6.11+1build2	amd64	Toolkit for Tcl and X11 (default version) - windowing shell
tk-dev:amd64	8.6.11+1build2	amd64	Toolkit for Tcl and X11 (default version) - development files
tk8.6	8.6.12-1build1	amd64	Tk toolkit for Tcl and X11 v8.6 - windowing shell
tk8.6-dev:amd64	8.6.12-1build1	amd64	Tk toolkit for Tcl and X11 v8.6 - development files
tzdata	2022f-0ubuntu0.22.04.1	all	time zone and daylight-saving time data
ubuntu-keyring	2021.03.26	all	GnuPG keys of the Ubuntu archive
ubuntu-mono	20.10-0ubuntu2	all	Ubuntu Mono Icon theme
ucf	3.0043	all	Update Configuration File(s): preserve user changes to config files
unixodbc-common	2.3.9-5	all	Common ODBC configuration files
unixodbc-dev:amd64	2.3.9-5	amd64	ODBC libraries for Unix (development files)
unzip	6.0-26ubuntu3.1	amd64	De-archiver for .zip files
usrmerge	25ubuntu2	all	Convert the system to the merged /usr directories scheme
util-linux	2.37.2-4ubuntu3	amd64	miscellaneous system utilities
uuid-dev:amd64	2.37.2-4ubuntu3	amd64	Universally Unique ID library - headers and static libraries
wget	1.21.2-2ubuntu1	amd64	retrieves files from the web
x11-common	1:7.7+23ubuntu2	all	X Window System (X.Org) infrastructure
x11proto-dev	2021.5-1	all	X11 extension protocols and auxiliary headers
xfonts-100dpi	1:1.0.4+nmu1.1	all	100 dpi fonts for X
xfonts-75dpi	1:1.0.4+nmu1.1	all	75 dpi fonts for X
xfonts-encodings	1:1.0.5-0ubuntu2	all	Encodings for X.Org fonts
xfonts-utils	1:7.7+6build2	amd64	X Window System font utility programs
xorg-sgml-doctools	1:1.11-1.1	all	Common tools for building X.Org SGML documentation
xtrans-dev	1.4.0-1	all	X transport library (development files)
xz-utils	5.2.5-2ubuntu1	amd64	XZ-format compression utilities
zip	3.0-12build2	amd64	Archiver for .zip files
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2	amd64	compression library - runtime
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2	amd64	compression library - development
