Name	Version	Architecturet	Description
libgeotiff-dev:amd64	1.7.0-2build1	amd64	GeoTIFF (geografic enabled TIFF) library -- development files
libgeotiff5:amd64	1.7.0-2build1	amd64	GeoTIFF (geografic enabled TIFF) library -- run-time files
libgfortran-11-dev:amd64	11.3.0-1ubuntu1~22.04	amd64	Runtime library for GNU Fortran applications (development files)
libgfortran5:amd64	12.1.0-2ubuntu1~22.04	amd64	Runtime library for GNU Fortran applications
libgif-dev	5.1.9-2build2	amd64	library for GIF images (development)
libgif7:amd64	5.1.9-2build2	amd64	library for GIF images (library)
libgirepository-1.0-1:amd64	1.72.0-1	amd64	Library for handling GObject introspection data (runtime library)
libgit2-1.1:amd64	1.1.0+dfsg.1-4.1build1	amd64	low-level Git library
libgit2-dev:amd64	1.1.0+dfsg.1-4.1build1	amd64	low-level Git library (development files)
libgl-dev:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- GL development files
libgl1:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- legacy GL support
libgl1-mesa-dev:amd64	22.0.5-0ubuntu0.1	amd64	transitional dummy package
libgl1-mesa-dri:amd64	22.0.5-0ubuntu0.1	amd64	free implementation of the OpenGL API -- DRI modules
libglapi-mesa:amd64	22.0.5-0ubuntu0.1	amd64	free implementation of the GL API -- shared library
libgles-dev:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- GLES development files
libgles1:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- GLESv1 support
libgles2:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- GLESv2 support
libglib2.0-0:amd64	2.72.4-0ubuntu1	amd64	GLib library of C routines
libglib2.0-bin	2.72.4-0ubuntu1	amd64	Programs for the GLib library
libglib2.0-data	2.72.4-0ubuntu1	all	Common files for GLib library
libglib2.0-dev:amd64	2.72.4-0ubuntu1	amd64	Development files for the GLib library
libglib2.0-dev-bin	2.72.4-0ubuntu1	amd64	Development utilities for the GLib library
libglibmm-2.4-1v5:amd64	2.66.2-2	amd64	C++ wrapper for the GLib toolkit (shared libraries)
libglibmm-2.4-dev:amd64	2.66.2-2	amd64	C++ wrapper for the GLib toolkit (development files)
libglpk-dev:amd64	5.0-1	amd64	linear programming kit - development files
libglpk40:amd64	5.0-1	amd64	linear programming kit with integer (MIP) support
libglu1-mesa:amd64	9.0.2-1	amd64	Mesa OpenGL utility library (GLU)
libglu1-mesa-dev:amd64	9.0.2-1	amd64	Mesa OpenGL utility library -- development files
libglvnd-core-dev:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- core development files
libglvnd-dev:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- development files
libglvnd0:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library
libglx-dev:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- GLX development files
libglx-mesa0:amd64	22.0.5-0ubuntu0.1	amd64	free implementation of the OpenGL API -- GLX vendor library
libglx0:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- GLX support
libgme0:amd64	0.6.3-2	amd64	Playback library for video game music files - shared library
libgmp-dev:amd64	2:6.2.1+dfsg-3ubuntu1	amd64	Multiprecision arithmetic library developers tools
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1	amd64	Multiprecision arithmetic library
libgmp3-dev:amd64	2:6.2.1+dfsg-3ubuntu1	amd64	Multiprecision arithmetic library developers tools
libgmpxx4ldbl:amd64	2:6.2.1+dfsg-3ubuntu1	amd64	Multiprecision arithmetic library (C++ bindings)
libgnutls30:amd64	3.7.3-4ubuntu1.1	amd64	GNU TLS library - main runtime library
libgomp1:amd64	12.1.0-2ubuntu1~22.04	amd64	GCC OpenMP (GOMP) support library
libgpg-error0:amd64	1.43-3	amd64	GnuPG development runtime library
libgraphite2-3:amd64	1.3.14-1build2	amd64	Font rendering engine for Complex Scripts -- library
libgraphite2-dev:amd64	1.3.14-1build2	amd64	Development files for libgraphite2
libgsl-dev	2.7.1+dfsg-3	amd64	GNU Scientific Library (GSL) -- development package
libgsl27:amd64	2.7.1+dfsg-3	amd64	GNU Scientific Library (GSL) -- library package
libgslcblas0:amd64	2.7.1+dfsg-3	amd64	GNU Scientific Library (GSL) -- blas library package
libgsm1:amd64	1.0.19-1	amd64	Shared libraries for GSM speech compressor
libgssapi-krb5-2:amd64	1.19.2-2	amd64	MIT Kerberos runtime libraries - krb5 GSS-API Mechanism
libgssrpc4:amd64	1.19.2-2	amd64	MIT Kerberos runtime libraries - GSS enabled ONCRPC
libgtk2.0-0:amd64	2.24.33-2ubuntu2	amd64	GTK graphical user interface library - old version
libgtk2.0-common	2.24.33-2ubuntu2	all	common files for the GTK graphical user interface library
libgtk2.0-dev:amd64	2.24.33-2ubuntu2	amd64	development files for the GTK library
libgtkmm-2.4-1v5:amd64	1:2.24.5-4ubuntu3	amd64	C++ wrappers for GTK+ 2 (shared libraries)
libgtkmm-2.4-dev:amd64	1:2.24.5-4ubuntu3	amd64	C++ wrappers for GTK+ 2 (development files)
libgts-0.7-5:amd64	0.7.6+darcs121130-5	amd64	library to deal with 3D computational surface meshes
libgvc6	2.42.2-6	amd64	rich set of graph drawing tools - gvc library
libgvpr2:amd64	2.42.2-6	amd64	rich set of graph drawing tools - gvpr library
libharfbuzz-dev:amd64	2.7.4-1ubuntu3.1	amd64	Development files for OpenType text shaping engine
libharfbuzz-gobject0:amd64	2.7.4-1ubuntu3.1	amd64	OpenType text shaping engine ICU backend (GObject library)
libharfbuzz-icu0:amd64	2.7.4-1ubuntu3.1	amd64	OpenType text shaping engine ICU backend
libharfbuzz0b:amd64	2.7.4-1ubuntu3.1	amd64	OpenType text shaping engine (shared library)
libhdf4-0-alt	4.2.15-4	amd64	Hierarchical Data Format library (without NetCDF)
libhdf4-alt-dev	4.2.15-4	amd64	Hierarchical Data Format development files (without NetCDF)
libhdf5-103-1:amd64	1.10.7+repack-4ubuntu2	amd64	HDF5 C runtime files - serial version
libhdf5-cpp-103-1:amd64	1.10.7+repack-4ubuntu2	amd64	HDF5 - C++ runtime files - serial version
libhdf5-dev	1.10.7+repack-4ubuntu2	amd64	HDF5 - development files - serial version
libhdf5-fortran-102:amd64	1.10.7+repack-4ubuntu2	amd64	HDF5 Fortran runtime files - serial version
libhdf5-hl-100:amd64	1.10.7+repack-4ubuntu2	amd64	HDF5 High Level runtime files - serial version
libhdf5-hl-cpp-100:amd64	1.10.7+repack-4ubuntu2	amd64	HDF5 High Level C++ runtime files - serial version
libhdf5-hl-fortran-100:amd64	1.10.7+repack-4ubuntu2	amd64	HDF5 High Level Fortran runtime files - serial version
libheif-dev:amd64	1.12.0-2build1	amd64	ISO/IEC 23008-12:2017 HEIF file format decoder - development files
libheif1:amd64	1.12.0-2build1	amd64	ISO/IEC 23008-12:2017 HEIF file format decoder - shared library
libhiredis-dev:amd64	0.14.1-2	amd64	minimalistic C client library for Redis (development files)
libhiredis0.14:amd64	0.14.1-2	amd64	minimalistic C client library for Redis
libhogweed6:amd64	3.7.3-1build2	amd64	low level cryptographic library (public-key cryptos)
libhtml-parser-perl:amd64	3.76-1build2	amd64	collection of modules that parse HTML text documents
libhtml-tagset-perl	3.20-4	all	data tables pertaining to HTML
libhtml-tree-perl	5.07-2	all	Perl module to represent and create HTML syntax trees
libhtscodecs2:amd64	1.1.1-3	amd64	Custom compression for CRAM and others
libhttp-cookies-perl	6.10-1	all	HTTP cookie jars
libhttp-date-perl	6.05-1	all	module of date conversion routines
libhttp-message-perl	6.36-1	all	perl interface to HTTP style messages
libhttp-negotiate-perl	6.01-1	all	implementation of content negotiation
libhttp-parser-dev	2.9.4-4	amd64	parser for HTTP messages: development libraries and header files
libhttp-parser2.9:amd64	2.9.4-4	amd64	parser for HTTP messages written in C
libhwloc-dev:amd64	2.7.0-2ubuntu1	amd64	Hierarchical view of the machine - static libs and headers
libhwloc-plugins:amd64	2.7.0-2ubuntu1	amd64	Hierarchical view of the machine - plugins
libhwloc15:amd64	2.7.0-2ubuntu1	amd64	Hierarchical view of the machine - shared libs
libibverbs-dev:amd64	39.0-1	amd64	Development files for the libibverbs library
libibverbs1:amd64	39.0-1	amd64	Library for direct userspace use of RDMA (InfiniBand/iWARP)
libice-dev:amd64	2:1.0.10-1build2	amd64	X11 Inter-Client Exchange library (development headers)
libice6:amd64	2:1.0.10-1build2	amd64	X11 Inter-Client Exchange library
libicu-dev:amd64	70.1-2	amd64	Development files for International Components for Unicode
libicu70:amd64	70.1-2	amd64	International Components for Unicode
libidn2-0:amd64	2.3.2-2build1	amd64	Internationalized domain names (IDNA2008/TR46) library
libilmbase-dev:amd64	2.5.7-2	amd64	development files for IlmBase
libilmbase25:amd64	2.5.7-2	amd64	several utility libraries from ILM used by OpenEXR
libinchi1	1.03+dfsg-4	amd64	International Chemical Identifier (InChI) algorithm (library)
libio-html-perl	1.004-2	all	open an HTML file with automatic charset detection
libio-socket-ssl-perl	2.074-2	all	Perl module implementing object oriented interface to SSL sockets
libipc-run3-perl	0.048-2	all	run a subprocess with input/output redirection
libipt2	2.0.5-1	amd64	Intel Processor Trace Decoder Library
libisl23:amd64	0.24-2build1	amd64	manipulating sets and relations of integer points bounded by linear constraints
libitm1:amd64	12.1.0-2ubuntu1~22.04	amd64	GNU Transactional Memory Library
libjbig-dev:amd64	2.1-3.1ubuntu0.22.04.1	amd64	JBIGkit development files
libjbig0:amd64	2.1-3.1ubuntu0.22.04.1	amd64	JBIGkit libraries
libjpeg-dev:amd64	8c-2ubuntu10	amd64	Independent JPEG Group's JPEG runtime library (dependency package)
libjpeg-turbo-progs	2.1.2-0ubuntu1	amd64	Programs for manipulating JPEG files
libjpeg-turbo-test	2.1.2-0ubuntu1	amd64	Program for benchmarking and testing libjpeg-turbo
libjpeg-turbo8:amd64	2.1.2-0ubuntu1	amd64	IJG JPEG compliant runtime library.
libjpeg-turbo8-dbg	2.1.2-0ubuntu1	amd64	Debugging symbols for the libjpeg-turbo library
libjpeg-turbo8-dev:amd64	2.1.2-0ubuntu1	amd64	Development files for the IJG JPEG library
libjpeg8:amd64	8c-2ubuntu10	amd64	Independent JPEG Group's JPEG runtime library (dependency package)
libjpeg8-dev:amd64	8c-2ubuntu10	amd64	Independent JPEG Group's JPEG runtime library (dependency package)
libjs-jquery	3.6.0+dfsg+~3.5.13-1	all	JavaScript library for dynamic web applications
libjs-jquery-ui	1.13.1+dfsg-1	all	JavaScript UI library for dynamic web applications
libjs-sphinxdoc	4.3.2-1	all	JavaScript support for Sphinx documentation
libjs-underscore	1.13.2~dfsg-2	all	JavaScript's functional programming helper library
libjson-c-dev:amd64	0.15-3~ubuntu1.22.04.1	amd64	JSON manipulation library - development files
libjson-c5:amd64	0.15-3~ubuntu1.22.04.1	amd64	JSON manipulation library - shared library
libjsoncpp25:amd64	1.9.5-3	amd64	library for reading and writing JSON for C++
libk5crypto3:amd64	1.19.2-2	amd64	MIT Kerberos runtime libraries - Crypto Library
libkadm5clnt-mit12:amd64	1.19.2-2	amd64	MIT Kerberos runtime libraries - Administration Clients
libkadm5srv-mit12:amd64	1.19.2-2	amd64	MIT Kerberos runtime libraries - KDC and Admin Server
libkdb5-10:amd64	1.19.2-2	amd64	MIT Kerberos runtime libraries - Kerberos database
libkeyutils1:amd64	1.6.1-2ubuntu3	amd64	Linux Key Management Utilities (library)
libklu1:amd64	1:5.10.1+dfsg-4build1	amd64	circuit simulation sparse LU factorization library
libkml-dev:amd64	1.3.0-9	amd64	Library to manipulate KML 2.2 OGC standard files - development files
libkmlbase1:amd64	1.3.0-9	amd64	Library to manipulate KML 2.2 OGC standard files - libkmlbase
libkmlconvenience1:amd64	1.3.0-9	amd64	Library to manipulate KML 2.2 OGC standard files - libkmlconvenience
libkmldom1:amd64	1.3.0-9	amd64	Library to manipulate KML 2.2 OGC standard files - libkmldom
libkmlengine1:amd64	1.3.0-9	amd64	Library to manipulate KML 2.2 OGC standard files - libkmlengine
libkmlregionator1:amd64	1.3.0-9	amd64	Library to manipulate KML 2.2 OGC standard files - libkmlregionator
libkmlxsd1:amd64	1.3.0-9	amd64	Library to manipulate KML 2.2 OGC standard files - libkmlxsd
libkrb5-3:amd64	1.19.2-2	amd64	MIT Kerberos runtime libraries
libkrb5-dev:amd64	1.19.2-2	amd64	headers and development libraries for MIT Kerberos
libkrb5support0:amd64	1.19.2-2	amd64	MIT Kerberos runtime libraries - Support library
liblab-gamut1:amd64	2.42.2-6	amd64	rich set of graph drawing tools - liblab_gamut library
liblapack-dev:amd64	3.10.0-2ubuntu1	amd64	Library of linear algebra routines 3 - static version
liblapack3:amd64	3.10.0-2ubuntu1	amd64	Library of linear algebra routines 3 - shared version
liblbfgsb0:amd64	3.0+dfsg.3-10	amd64	Limited-memory quasi-Newton bound-constrained optimization
liblcms2-2:amd64	2.12~rc1-2build2	amd64	Little CMS 2 color management library
liblcms2-dev:amd64	2.12~rc1-2build2	amd64	Little CMS 2 color management library development headers
libldap-2.5-0:amd64	2.5.13+dfsg-0ubuntu0.22.04.1	amd64	OpenLDAP libraries
libldl2:amd64	1:5.10.1+dfsg-4build1	amd64	simple LDL' factorization library for sparse matrices
liblilv-0-0:amd64	0.24.12-2	amd64	library for simple use of LV2 plugins
liblingua-translit-perl	0.28-1	all	Perl module that transliterates text between writing systems
liblist-allutils-perl	0.19-1	all	Perl wrapper for modules List::Util and List::MoreUtils
liblist-moreutils-perl	0.430-2	all	Perl module with additional list functions not found in List::Util
liblist-moreutils-xs-perl	0.430-2build2	amd64	Perl module providing compiled List::MoreUtils functions
liblist-someutils-perl	0.58-1	all	module that provides the stuff missing in List::Util
liblist-utilsby-perl	0.11-1	all	higher-order list utility functions
libllvm13:amd64	1:13.0.1-2ubuntu2.1	amd64	Modular compiler and toolchain technologies, runtime library
libllvm14:amd64	1:14.0.0-1ubuntu1	amd64	Modular compiler and toolchain technologies, runtime library
liblog-log4perl-perl	1.54-1	all	Perl port of the widely popular log4j logging package
liblqr-1-0:amd64	0.4.2-2.1	amd64	converts plain array images into multi-size representation
liblqr-1-0-dev:amd64	0.4.2-2.1	amd64	converts plain array images into multi-size representation (developments files)
liblsan0:amd64	12.1.0-2ubuntu1~22.04	amd64	LeakSanitizer -- a memory leak detector (runtime)
libltdl-dev:amd64	2.4.6-15build2	amd64	System independent dlopen wrapper for GNU libtool
libltdl7:amd64	2.4.6-15build2	amd64	System independent dlopen wrapper for GNU libtool
liblwp-mediatypes-perl	6.04-1	all	module to guess media type for a file or a URL
liblwp-protocol-https-perl	6.10-1	all	HTTPS driver for LWP::UserAgent
liblz4-1:amd64	1.9.3-2build2	amd64	Fast LZ compression algorithm library - runtime
liblz4-dev:amd64	1.9.3-2build2	amd64	Fast LZ compression algorithm library - development files
liblzma-dev:amd64	5.2.5-2ubuntu1	amd64	XZ-format compression library - development files
liblzma-doc	5.2.5-2ubuntu1	all	XZ-format compression library - API documentation
liblzma5:amd64	5.2.5-2ubuntu1	amd64	XZ-format compression library
liblzo2-2:amd64	2.10-2build3	amd64	data compression library
libmaeparser1:amd64	1.2.4-1build1	amd64	parser for Schrödinger Maestro files
libmagic-mgc	1:5.41-3	amd64	File type determination library using magic numbers (compiled magic file)
libmagic1:amd64	1:5.41-3	amd64	Recognize the type of data in a file using magic numbers - library
libmagick++-6-headers	8:6.9.11.60+dfsg-1.3build2	all	object-oriented C++ interface to ImageMagick - header files
libmagick++-6.q16-8:amd64	8:6.9.11.60+dfsg-1.3build2	amd64	C++ interface to ImageMagick -- quantum depth Q16
libmagick++-6.q16-dev:amd64	8:6.9.11.60+dfsg-1.3build2	amd64	C++ interface to ImageMagick - development files (Q16)
libmagick++-dev	8:6.9.11.60+dfsg-1.3build2	all	object-oriented C++ interface to ImageMagick -- dummy package
libmagickcore-6-arch-config:amd64	8:6.9.11.60+dfsg-1.3build2	amd64	low-level image manipulation library - architecture header files
libmagickcore-6-headers	8:6.9.11.60+dfsg-1.3build2	all	low-level image manipulation library - header files
libmagickcore-6.q16-6:amd64	8:6.9.11.60+dfsg-1.3build2	amd64	low-level image manipulation library -- quantum depth Q16
libmagickcore-6.q16-6-extra:amd64	8:6.9.11.60+dfsg-1.3build2	amd64	low-level image manipulation library - extra codecs (Q16)
libmagickcore-6.q16-dev:amd64	8:6.9.11.60+dfsg-1.3build2	amd64	low-level image manipulation library - development files (Q16)
libmagickwand-6-headers	8:6.9.11.60+dfsg-1.3build2	all	image manipulation library - headers files
libmagickwand-6.q16-6:amd64	8:6.9.11.60+dfsg-1.3build2	amd64	image manipulation library -- quantum depth Q16
libmagickwand-6.q16-dev:amd64	8:6.9.11.60+dfsg-1.3build2	amd64	image manipulation library - development files (Q16)
libmbedcrypto7:amd64	2.28.0-1build1	amd64	lightweight crypto and SSL/TLS library - crypto library
libmbedtls-dev:amd64	2.28.0-1build1	amd64	lightweight crypto and SSL/TLS library - development files
libmbedtls14:amd64	2.28.0-1build1	amd64	lightweight crypto and SSL/TLS library - tls library
libmbedx509-1:amd64	2.28.0-1build1	amd64	lightweight crypto and SSL/TLS library - x509 certificate library
libmd-dev:amd64	1.0.4-1build1	amd64	message digest functions from BSD systems - development files
libmd0:amd64	1.0.4-1build1	amd64	message digest functions from BSD systems - shared library
libmetis5:amd64	5.1.0.dfsg-7build2	amd64	Serial Graph Partitioning and Fill-reducing Matrix Ordering
libmfx1:amd64	22.3.0-1	amd64	Intel Media SDK -- shared library
libmhash2:amd64	0.9.9.9-9build2	amd64	Library for cryptographic hashing and message authentication
libmime-charset-perl	1.012.2-1	all	module for MIME character set information
libminizip-dev:amd64	1.1-8build1	amd64	compression library - minizip development files
libminizip1:amd64	1.1-8build1	amd64	compression library - minizip library
libmodule-build-perl	0.423100-1	all	framework for building and installing Perl modules
libmodule-implementation-perl	0.09-1.1	all	module for loading one of several alternate implementations of a module
libmodule-runtime-perl	0.016-1	all	Perl module for runtime module handling
libmongoose2:amd64	1:5.10.1+dfsg-4build1	amd64	graph partitioning tool that can quickly compute edge cuts (shared library)
libmono-corlib4.5-dll	6.8.0.105+dfsg-3.2	all	Mono core library (for CLI 4.5)
libmono-security4.0-cil	6.8.0.105+dfsg-3.2	all	Mono Security library (for CLI 4.0)
libmono-system-configuration4.0-cil	6.8.0.105+dfsg-3.2	all	Mono System.Configuration library (for CLI 4.0)
libmono-system-core4.0-cil	6.8.0.105+dfsg-3.2	all	Mono System.Core library (for CLI 4.0)
libmono-system-numerics4.0-cil	6.8.0.105+dfsg-3.2	all	Mono System.Numerics library (for CLI 4.0)
libmono-system-security4.0-cil	6.8.0.105+dfsg-3.2	all	Mono System.Security library (for CLI 4.0)
libmono-system-xml4.0-cil	6.8.0.105+dfsg-3.2	all	Mono System.Xml library (for CLI 4.0)
libmono-system4.0-cil	6.8.0.105+dfsg-3.2	all	Mono System libraries (for CLI 4.0)
libmount-dev:amd64	2.37.2-4ubuntu3	amd64	device mounting library - headers
libmount1:amd64	2.37.2-4ubuntu3	amd64	device mounting library
libmp3lame0:amd64	3.100-3build2	amd64	MP3 encoding library
libmpc3:amd64	1.2.1-2build1	amd64	multiple precision complex floating-point library
libmpdec3:amd64	2.5.1-2build2	amd64	library for decimal floating point arithmetic (runtime library)
libmpfr-dev:amd64	4.1.0-3build3	amd64	multiple precision floating-point computation developers tools
libmpfr6:amd64	4.1.0-3build3	amd64	multiple precision floating-point computation
libmpg123-0:amd64	1.29.3-1build1	amd64	MPEG layer 1/2/3 audio decoder (shared library)
libmro-compat-perl	0.15-1	all	mro::* interface compatibility for Perls < 5.9.5
libmysofa1:amd64	1.2.1~dfsg0-1	amd64	library to read HRTFs stored in the AES69-2015 SOFA format
libmysqlclient-dev	8.0.31-0ubuntu0.22.04.1	amd64	MySQL database development files
libmysqlclient21:amd64	8.0.31-0ubuntu0.22.04.1	amd64	MySQL database client library
libnamespace-autoclean-perl	0.29-1	all	module to remove imported symbols after compilation
libnamespace-clean-perl	0.27-1	all	module for keeping imports and functions out of the current namespace
libncurses-dev:amd64	6.3-2	amd64	developer's libraries for ncurses
libncurses6:amd64	6.3-2	amd64	shared libraries for terminal handling
libncursesw6:amd64	6.3-2	amd64	shared libraries for terminal handling (wide character support)
libnet-http-perl	6.22-1	all	module providing low-level HTTP connection client
libnet-ssleay-perl:amd64	1.92-1build2	amd64	Perl module for Secure Sockets Layer (SSL)
libnetcdf-dev	1:4.8.1-1	amd64	creation, access, and sharing of scientific data
libnetcdf19:amd64	1:4.8.1-1	amd64	Interface for scientific data access to large binary data
libnettle8:amd64	3.7.3-1build2	amd64	low level cryptographic library (symmetric and one-way cryptos)
libnghttp2-14:amd64	1.43.0-1build3	amd64	library implementing HTTP/2 protocol (shared library)
libnl-3-200:amd64	3.5.0-0.1	amd64	library for dealing with netlink sockets
libnl-3-dev:amd64	3.5.0-0.1	amd64	development library and headers for libnl-3
libnl-route-3-200:amd64	3.5.0-0.1	amd64	library for dealing with netlink sockets - route interface
libnl-route-3-dev:amd64	3.5.0-0.1	amd64	development library and headers for libnl-route-3
libnode-dev	12.22.9~dfsg-1ubuntu3	amd64	evented I/O for V8 javascript (development files)
libnode72:amd64	12.22.9~dfsg-1ubuntu3	amd64	evented I/O for V8 javascript - runtime library
libnorm-dev:amd64	1.5.9+dfsg-2	amd64	NACK-Oriented Reliable Multicast (NORM) library (development files)
libnorm1:amd64	1.5.9+dfsg-2	amd64	NACK-Oriented Reliable Multicast (NORM) library
libnsl-dev:amd64	1.3.0-2build2	amd64	libnsl development files
libnsl2:amd64	1.3.0-2build2	amd64	Public client interface for NIS(YP) and NIS+
libnspr4:amd64	2:4.32-3build1	amd64	NetScape Portable Runtime Library
libnss3:amd64	2:3.68.2-0ubuntu1.1	amd64	Network Security Service libraries
libnuma-dev:amd64	2.0.14-3ubuntu2	amd64	Development files for libnuma
libnuma1:amd64	2.0.14-3ubuntu2	amd64	Libraries for controlling NUMA policy
libnumber-compare-perl	0.03-2	all	module for performing numeric comparisons in Perl
libobjc-11-dev:amd64	11.3.0-1ubuntu1~22.04	amd64	Runtime library for GNU Objective-C applications (development files)
libobjc4:amd64	12.1.0-2ubuntu1~22.04	amd64	Runtime library for GNU Objective-C applications
libodbc2:amd64	2.3.9-5	amd64	ODBC Driver Manager library for Unix
libodbccr2:amd64	2.3.9-5	amd64	ODBC Cursor library for Unix
libodbcinst2:amd64	2.3.9-5	amd64	Support library for accessing ODBC configuration files
libogdi-dev	4.1.0+ds-5	amd64	Open Geographic Datastore Interface Library -- development
libogdi4.1	4.1.0+ds-5	amd64	Open Geographic Datastore Interface Library -- library
libogg0:amd64	1.3.5-0ubuntu3	amd64	Ogg bitstream library
libopenbabel-dev	3.1.1+dfsg-6ubuntu5	amd64	Chemical toolbox library (development files)
libopenbabel7	3.1.1+dfsg-6ubuntu5	amd64	Chemical toolbox library
libopenblas-dev:amd64	0.3.20+ds-1	amd64	Optimized BLAS (linear algebra) library (dev, meta)
libopenblas-pthread-dev:amd64	0.3.20+ds-1	amd64	Optimized BLAS (linear algebra) library (dev, pthread)
libopenblas0:amd64	0.3.20+ds-1	amd64	Optimized BLAS (linear algebra) library (meta)
libopenblas0-pthread:amd64	0.3.20+ds-1	amd64	Optimized BLAS (linear algebra) library (shared lib, pthread)
libopenexr-dev	2.5.7-1	amd64	development files for the OpenEXR image library
libopenexr25:amd64	2.5.7-1	amd64	runtime files for the OpenEXR image library
libopengl-dev:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- OpenGL development files
libopengl0:amd64	1.4.0-1	amd64	Vendor neutral GL dispatch library -- OpenGL support
libopenjp2-7:amd64	2.4.0-6	amd64	JPEG 2000 image compression/decompression library
libopenjp2-7-dev:amd64	2.4.0-6	amd64	development files for OpenJPEG, a JPEG 2000 image library
libopenmpi-dev:amd64	4.1.2-2ubuntu1	amd64	high performance message passing library -- header files
libopenmpi3:amd64	4.1.2-2ubuntu1	amd64	high performance message passing library -- shared library
libopenmpt0:amd64	0.6.1-1	amd64	module music library based on OpenMPT -- shared library
libopus0:amd64	1.3.1-0.1build2	amd64	Opus codec runtime library
libp11-kit0:amd64	0.24.0-6build1	amd64	library for loading and coordinating access to PKCS#11 modules - runtime
libpackage-stash-perl	0.39-1	all	module providing routines for manipulating stashes
libpam-modules:amd64	1.4.0-11ubuntu2	amd64	Pluggable Authentication Modules for PAM
libpam-modules-bin	1.4.0-11ubuntu2	amd64	Pluggable Authentication Modules for PAM - helper binaries
libpam-runtime	1.4.0-11ubuntu2	all	Runtime support for the PAM library
libpam0g:amd64	1.4.0-11ubuntu2	amd64	Pluggable Authentication Modules library
libpango-1.0-0:amd64	1.50.6+ds-2	amd64	Layout and rendering of internationalized text
libpango1.0-dev:amd64	1.50.6+ds-2	amd64	Development files for the Pango
libpangocairo-1.0-0:amd64	1.50.6+ds-2	amd64	Layout and rendering of internationalized text
libpangoft2-1.0-0:amd64	1.50.6+ds-2	amd64	Layout and rendering of internationalized text
libpangomm-1.4-1v5:amd64	2.46.2-1	amd64	C++ Wrapper for pango (shared libraries)
libpangomm-1.4-dev:amd64	2.46.2-1	amd64	C++ Wrapper for pango (development files)
libpangoxft-1.0-0:amd64	1.50.6+ds-2	amd64	Layout and rendering of internationalized text
libparams-classify-perl	0.015-1build5	amd64	Perl module for argument type classification
libparams-util-perl	1.102-1build3	amd64	Perl extension for simple stand-alone param checking functions
libparams-validate-perl:amd64	1.30-1build3	amd64	Perl module to validate parameters to Perl method/function calls
libparams-validationcompiler-perl	0.30-1	all	module to build an optimized subroutine parameter validator
libparse-recdescent-perl	1.967015+dfsg-2	all	Perl module to create and use recursive-descent parsers
libpathplan4:amd64	2.42.2-6	amd64	rich set of graph drawing tools - pathplan library
libpciaccess0:amd64	0.16-3	amd64	Generic PCI access library for X
libpcre16-3:amd64	2:8.39-13ubuntu0.22.04.1	amd64	Old Perl 5 Compatible Regular Expression Library - 16 bit runtime files
libpcre2-16-0:amd64	10.39-3ubuntu0.1	amd64	New Perl Compatible Regular Expression Library - 16 bit runtime files
libpcre2-32-0:amd64	10.39-3ubuntu0.1	amd64	New Perl Compatible Regular Expression Library - 32 bit runtime files
libpcre2-8-0:amd64	10.39-3ubuntu0.1	amd64	New Perl Compatible Regular Expression Library- 8 bit runtime files
libpcre2-dev:amd64	10.39-3ubuntu0.1	amd64	New Perl Compatible Regular Expression Library - development files
libpcre2-posix3:amd64	10.39-3ubuntu0.1	amd64	New Perl Compatible Regular Expression Library - posix-compatible runtime files
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1	amd64	Old Perl 5 Compatible Regular Expression Library - runtime files
libpcre3-dev:amd64	2:8.39-13ubuntu0.22.04.1	amd64	Old Perl 5 Compatible Regular Expression Library - development files
libpcre32-3:amd64	2:8.39-13ubuntu0.22.04.1	amd64	Old Perl 5 Compatible Regular Expression Library - 32 bit runtime files
libpcrecpp0v5:amd64	2:8.39-13ubuntu0.22.04.1	amd64	Old Perl 5 Compatible Regular Expression Library - C++ runtime files
libpcsclite1:amd64	1.9.5-3	amd64	Middleware to access a smart card using PC/SC (library)
libperl-dev:amd64	5.34.0-3ubuntu1.1	amd64	Perl library: development files
libperl5.34:amd64	5.34.0-3ubuntu1.1	amd64	shared Perl library
libpgm-5.3-0:amd64	5.3.128~dfsg-2	amd64	OpenPGM shared library
libpgm-dev:amd64	5.3.128~dfsg-2	amd64	OpenPGM development files
libpixman-1-0:amd64	0.40.0-1ubuntu0.22.04.1	amd64	pixel-manipulation library for X and cairo
libpixman-1-dev:amd64	0.40.0-1ubuntu0.22.04.1	amd64	pixel-manipulation library for X and cairo (development files)
libpmix-dev:amd64	4.1.2-2ubuntu1	amd64	Development files for the PMI Exascale library
libpmix2:amd64	4.1.2-2ubuntu1	amd64	Process Management Interface (Exascale) library
